year,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,treeid,spp,pgs,fgs,budburstGDD,budsetGDD,leafoutGDD,leafcolorGDD,pgsGDD,fgsGDD,sppyear,budsetAVG,budsetGDDAVG,pgsGDDAVG,fullGDD,siteplot,site,plot,replicate
2018,107,NA,124,NA,NA,NA,NA,274,297,44.794942,-71.146683,ALNINC_GR11_P1,ALNINC,150,173,171.1777777777778,2649.3861111111105,310.475,2824.0361111111097,2338.9111111111106,2513.5611111111098,ALNINC2018,270,2611.2166666666662,2300.7416666666663,2950.9972222222204,GR11,GR,11,P1
2019,NA,NA,115,NA,NA,NA,NA,249,245,44.794942,-71.146683,ALNINC_GR11_P1,ALNINC,134,130,NA,2186.3972222222224,253.60277777777776,2130.6666666666665,1932.7944444444447,1877.0638888888889,ALNINC2019,263,2347.4972222222227,2093.894444444445,2826.3750000000005,GR11,GR,11,P1
2020,91,NA,154,NA,NA,NA,268,268,241,44.794942,-71.146683,ALNINC_GR11_P1,ALNINC,114,87,150.44444444444449,2498.5277777777765,544.4166666666665,2151.1388888888882,1954.11111111111,1606.7222222222217,ALNINC2020,281,2659.222222222221,2114.8055555555543,3024.833333333331,GR11,GR,11,P1
2018,103,NA,124,NA,NA,NA,NA,268,NA,44.794942,-71.146683,ALNINC_GR11_P15,ALNINC,144,NA,161.7027777777778,2579.969444444444,310.475,NA,2269.494444444444,NA,ALNINC2018,270,2611.2166666666662,2300.7416666666663,2950.9972222222204,GR11,GR,11,P15
2019,93,NA,119,NA,NA,NA,NA,263,240,44.794942,-71.146683,ALNINC_GR11_P15,ALNINC,144,121,109.77222222222221,2347.4972222222227,269.6416666666667,2053.336111111111,2077.855555555556,1783.6944444444446,ALNINC2019,263,2347.4972222222227,2077.855555555556,2826.3750000000005,GR11,GR,11,P15
2020,NA,119,143,NA,NA,NA,NA,282,263,44.794942,-71.146683,ALNINC_GR11_P15,ALNINC,139,120,NA,2665.0277777777765,415.6666666666665,2452.9999999999986,2249.36111111111,2037.3333333333321,ALNINC2020,281,2659.222222222221,2243.5555555555543,3024.833333333331,GR11,GR,11,P15
2018,NA,NA,142,NA,NA,NA,NA,246,304,44.794942,-71.146683,ALNINC_GR8_P16,ALNINC,104,162,NA,2267.5999999999995,488.41388888888883,2843.824999999999,1779.1861111111107,2355.41111111111,ALNINC2018,270,2611.2166666666662,2122.8027777777775,2950.9972222222204,GR8,GR,8,P16
2019,97,NA,127,NA,NA,NA,NA,263,240,44.794942,-71.146683,ALNINC_GR8_P16,ALNINC,136,113,128.325,2347.4972222222227,309.5583333333334,2053.336111111111,2037.9388888888893,1743.7777777777778,ALNINC2019,263,2347.4972222222227,2037.9388888888893,2826.3750000000005,GR8,GR,8,P16
2020,NA,NA,143,NA,NA,NA,275,282,293,44.794942,-71.146683,ALNINC_GR8_P16,ALNINC,139,150,NA,2665.0277777777765,415.6666666666665,2752.5833333333317,2249.36111111111,2336.916666666665,ALNINC2020,281,2659.222222222221,2243.5555555555543,3024.833333333331,GR8,GR,8,P16
2018,107,NA,124,NA,NA,NA,NA,274,NA,44.794942,-71.146683,ALNINC_GR1_P3,ALNINC,150,NA,171.1777777777778,2649.3861111111105,310.475,NA,2338.9111111111106,NA,ALNINC2018,270,2611.2166666666662,2300.7416666666663,2950.9972222222204,GR1,GR,1,P3
