 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_SH1_P12_guides-1.tif:2021,3.036E-5,129.834,89.174,158.295,-166.577,0.193
2,ALNINC_SH1_P12_guides-1.tif:2020,2.554E-5,131.846,86.680,163.742,-175.431,0.162
3,ALNINC_SH1_P12_guides-1.tif:2019,3.474E-5,132.992,98.667,161.000,180.000,0.220
4,ALNINC_SH1_P12_guides-1.tif:2018,1.679E-5,85.000,85.000,85.000,180.000,0.106
5,ALNINC_SH1_P12_guides-1.tif:2017,1.114E-5,140.128,100.000,162.333,180.000,0.071
6,ALNINC_SH1_P12_guides-1.tif:2016,8.854E-6,124.000,85.202,151.262,-179.356,0.056
7,ALNINC_SH1_P12_guides-1.tif:False ring,5.357E-4,125.765,95.000,169.000,0.000,0.000
8,ALNINC_SH1_P12_guides-1.tif:2021,1.366E-5,145.749,93.422,167.648,34.787,0.087
9,ALNINC_SH1_P12_guides-1.tif:2020,2.073E-5,139.509,100.818,161.182,37.309,0.131
10,ALNINC_SH1_P12_guides-1.tif:2019,3.301E-5,140.899,95.613,168.634,44.147,0.209
11,ALNINC_SH1_P12_guides-1.tif:2018,1.758E-5,142.162,108.333,165.404,57.995,0.111
12,ALNINC_SH1_P12_guides-1.tif:2017,1.171E-5,139.115,111.488,160.714,57.221,0.074
13,ALNINC_SH1_P12_guides-1.tif:2016,9.300E-6,126.391,82.915,155.445,59.115,0.059
14,ALNINC_SH1_P12_guides-1.tif:2021,1.451E-5,146.477,121.337,164.608,-58.380,0.092
15,ALNINC_SH1_P12_guides-1.tif:2020,2.061E-5,139.349,98.631,164.241,-57.153,0.131
16,ALNINC_SH1_P12_guides-1.tif:2019,3.080E-5,142.040,101.130,167.617,-57.040,0.195
17,ALNINC_SH1_P12_guides-1.tif:2018,1.473E-5,140.103,99.849,161.849,-56.551,0.093
18,ALNINC_SH1_P12_guides-1.tif:2017,9.672E-6,142.985,108.000,163.104,-57.167,0.061
19,ALNINC_SH1_P12_guides-1.tif:2016,8.085E-6,126.935,88.351,150.151,-56.408,0.051
20,ALNINC_SH1_P12_guides-1.tif:Real,2.178E-4,132.676,96.000,165.000,0.000,0.000
21,ALNINC_SH1_P12_guides-1.tif:False,0.003,128.866,86.000,181.000,0.000,0.000
22,ALNINC_SH1_P12_guides-1.tif:Real,0.002,135.229,92.000,193.000,0.000,0.000
23,ALNINC_SH1_P12_guides-1.tif:Real,0.002,134.984,76.000,186.000,0.000,0.000
24,ALNINC_SH1_P12_guides-1.tif:Real,0.002,131.879,85.000,170.000,0.000,0.000
25,ALNINC_SH1_P12_guides-1.tif:22,5.382E-6,122.942,94.501,157.562,-163.072,0.034
26,ALNINC_SH1_P12_guides-1.tif:22,2.009E-6,130.460,85.000,146.750,-59.899,0.013
27,ALNINC_SH1_P12_guides-1.tif:22,7.688E-7,136.969,101.667,147.987,-143.130,0.005
